frame,x,y,z
10,32,39,38
15,32,39,39
20,32,39,41
25,32,39,42
30,32,39,37
35,32,39,38
40,32,39,42
45,32,39,43
50,32,39,41
55,32,39,42
60,32,39,35
65,32,39,36
70,32,39,36
75,32,39,37
80,33,01,47
85,33,01,48
90,33,01,46
95,33,01,47
100,33,01,45
105,33,01,46
110,33,01,51
115,33,01,52
120,33,01,53
125,33,01,54
130,33,01,52
135,33,01,53
140,33,01,56
145,33,01,55
150,33,01,56
155,33,01,57
160,33,01,58
165,33,01,59
170,32,55,26
175,32,55,27
180,32,55,24
185,32,55,25
190,32,55,26
